StoreID,ProductID,SnapshotDate,QuantityOnHand,ReorderLevel,OnOrderQty,LastModifiedDate,SourceSystem
329,,2025-01-08,82,8,106,2025-01-11,INVENTORY
255,,2025-01-02,89,6,37,2025-01-05,INVENTORY
213,,2025-01-03,247,32,15,2025-01-05,INVENTORY
1,,2025-01-01,23,37,67,2025-01-03,INVENTORY
775,,2025-01-08,123,39,5,2025-01-11,INVENTORY
717,,2025-01-31,202,22,49,2025-02-01,INVENTORY
232,,2025-01-12,170,33,15,2025-01-13,INVENTORY
792,,2025-01-17,170,44,85,2025-01-19,INVENTORY
317,,2025-01-14,180,42,41,2025-01-17,INVENTORY
95,,2025-01-27,175,36,95,2025-01-28,INVENTORY
774,,2025-01-29,211,28,19,2025-02-01,INVENTORY
184,,2025-01-01,202,36,26,2025-01-01,INVENTORY
760,,2025-01-04,232,31,88,2025-01-07,INVENTORY
510,,2025-01-03,101,11,50,2025-01-04,INVENTORY
521,,2025-01-09,132,35,33,2025-01-10,INVENTORY
770,,2025-01-19,5,25,52,2025-01-19,INVENTORY
233,,2025-01-16,175,17,27,2025-01-17,INVENTORY
267,,2025-01-05,63,17,77,2025-01-06,INVENTORY
728,,2025-01-20,11,23,111,2025-01-20,INVENTORY
264,,2025-01-26,71,16,85,2025-01-26,INVENTORY
332,,2025-01-04,77,33,99,2025-01-06,INVENTORY
92,,2025-01-27,128,38,78,2025-01-28,INVENTORY
329,,2025-01-04,219,38,56,2025-01-05,INVENTORY
182,,2025-01-01,176,40,75,2025-01-04,INVENTORY
721,,2025-01-24,101,19,51,2025-01-27,INVENTORY
247,,2025-01-10,237,27,80,2025-01-10,INVENTORY
433,,2025-01-16,237,16,57,2025-01-17,INVENTORY
360,,2025-01-04,90,36,100,2025-01-05,INVENTORY
609,,2025-01-24,224,12,63,2025-01-27,INVENTORY
792,,2025-01-02,114,13,96,2025-01-05,INVENTORY
534,,2025-01-20,126,43,46,2025-01-23,INVENTORY
421,,2025-01-06,0,14,14,2025-01-09,INVENTORY
137,,2025-01-20,77,5,50,2025-01-20,INVENTORY
408,,2025-01-23,175,42,69,2025-01-26,INVENTORY
82,,2025-01-06,106,22,17,2025-01-07,INVENTORY
116,,2025-01-01,161,43,57,2025-01-01,INVENTORY
4,,2025-01-25,128,25,87,2025-01-27,INVENTORY
118,,2025-01-06,60,10,26,2025-01-08,INVENTORY
656,,2025-01-19,119,13,69,2025-01-21,INVENTORY
313,,2025-01-17,150,28,3,2025-01-17,INVENTORY
765,,2025-01-30,216,15,48,2025-02-01,INVENTORY
635,,2025-01-17,142,31,20,2025-01-20,INVENTORY
40,,2025-01-28,151,29,49,2025-01-31,INVENTORY
474,,2025-01-07,92,12,31,2025-01-07,INVENTORY
785,,2025-01-05,196,25,48,2025-01-08,INVENTORY
732,,2025-01-04,85,20,52,2025-01-04,INVENTORY
638,,2025-01-07,175,29,111,2025-01-07,INVENTORY
373,,2025-01-05,42,11,2,2025-01-05,INVENTORY
654,,2025-01-21,193,22,17,2025-01-24,INVENTORY
723,,2025-01-10,23,12,7,2025-01-10,INVENTORY
63,,2025-01-25,128,17,37,2025-01-26,INVENTORY
38,,2025-01-13,69,13,25,2025-01-15,INVENTORY
743,,2025-01-21,164,19,48,2025-01-22,INVENTORY
258,,2025-01-21,41,12,75,2025-01-24,INVENTORY
798,,2025-01-02,0,40,85,2025-01-05,INVENTORY
640,,2025-01-09,60,40,41,2025-01-12,INVENTORY
273,,2025-01-06,225,37,100,2025-01-06,INVENTORY
743,,2025-01-23,96,11,48,2025-01-25,INVENTORY
517,,2025-01-03,17,10,12,2025-01-06,INVENTORY
40,,2025-01-28,194,19,73,2025-01-30,INVENTORY
219,,2025-01-20,13,31,58,2025-01-23,INVENTORY
377,,2025-01-28,96,21,81,2025-01-29,INVENTORY
226,,2025-01-13,147,25,87,2025-01-16,INVENTORY
60,,2025-01-06,106,39,50,2025-01-06,INVENTORY
679,,2025-01-10,33,41,79,2025-01-12,INVENTORY
186,,2025-01-03,59,28,62,2025-01-05,INVENTORY
4,,2025-01-18,52,42,10,2025-01-20,INVENTORY
525,,2025-01-05,95,10,16,2025-01-06,INVENTORY
716,,2025-01-15,191,5,25,2025-01-18,INVENTORY
519,,2025-01-19,64,22,89,2025-01-19,INVENTORY
3,,2025-01-30,122,22,106,2025-02-02,INVENTORY
32,,2025-01-28,37,26,101,2025-01-30,INVENTORY
442,,2025-01-15,217,42,18,2025-01-18,INVENTORY
206,,2025-01-29,6,20,0,2025-01-30,INVENTORY
720,,2025-01-27,42,21,115,2025-01-29,INVENTORY
